state_abbr,year,seat,class,type,dem_candidate,rep_candidate,incumbent,dem_pct,rep_pct,margin,dem_votes,rep_votes,vote_margin,total_votes,wikipedia_url
NM,2024,1,1,,Martin Heinrich,Nella Louise Domenici,D,55.06,44.94,-10.11,497333,405978,-91355,903311,https://en.wikipedia.org/wiki/2024_United_States_Senate_election_in_New_Mexico
NM,2020,2,2,,Ben Ray Luján,Mark Ronchetti,None,51.73,45.62,-6.11,474483,418483,-56000,917237,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_New_Mexico
NM,2018,1,1,,Martin Heinrich,Mick Rich,D,54.09,30.53,-23.56,376998,212813,-164185,697012,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_New_Mexico
NM,2014,2,2,,Tom Udall,Allen Weh,D,55.56,44.44,-11.12,286409,229097,-57312,515506,https://en.wikipedia.org/wiki/2014_United_States_Senate_election_in_New_Mexico
NM,2012,1,1,,Martin Heinrich,Heather Wilson,None,51.01,45.28,-5.73,395717,351260,-44457,775793,https://en.wikipedia.org/wiki/2012_United_States_Senate_election_in_New_Mexico
NV,2024,1,1,,Jacky Rosen,Sam Brown,D,47.87,46.22,-1.64,701105,677046,-24059,1464728,https://en.wikipedia.org/wiki/2024_United_States_Senate_election_in_Nevada
NV,2022,2,3,,Catherine Cortez Masto,Adam Paul Laxalt,D,48.81,48.04,-0.78,498316,490388,-7928,1020850,https://en.wikipedia.org/wiki/2022_United_States_Senate_election_in_Nevada
NV,2018,1,1,,Jacky Rosen,Dean Heller,R,50.41,45.38,-5.03,490071,441202,-48869,972132,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Nevada
NV,2016,2,3,,Catherine Cortez Masto,Joseph Heck,None,47.10,44.67,-2.43,521994,495079,-26915,1108294,https://en.wikipedia.org/wiki/2016_United_States_Senate_election_in_Nevada
NV,2012,1,1,,Shelley Berkley,Dean Heller,R,44.71,45.87,1.16,446080,457656,11576,997805,https://en.wikipedia.org/wiki/2012_United_States_Senate_election_in_Nevada
NY,2024,1,1,,Kirsten Gillibrand,Michael Sapraicone,D,58.82,40.52,-18.29,4711298,3246114,-1465184,8380426,https://en.wikipedia.org/wiki/2024_United_States_Senate_election_in_New_York
NY,2022,2,3,,Charles Schumer,Joe Pinion,D,56.74,42.73,-14.00,3320561,2501151,-819410,5965684,https://en.wikipedia.org/wiki/2022_United_States_Senate_election_in_New_York
NY,2018,1,1,,Kirsten Gillibrand,Chele Farley,D,66.96,32.98,-33.98,4056931,1998220,-2058711,6250886,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_New_York
NY,2016,2,3,,Charles Schumer,Wendy Long,D,70.18,27.56,-42.62,5116696,2009353,-3107343,7695473,https://en.wikipedia.org/wiki/2016_United_States_Senate_election_in_New_York
NY,2012,1,1,,Kirsten Gillibrand,Wendy Long,D,72.21,26.34,-45.87,4822330,1758702,-3063628,7116628,https://en.wikipedia.org/wiki/2012_United_States_Senate_election_in_New_York
OH,2024,1,1,,Sherrod Brown,Bernie Moreno,D,46.47,50.09,3.62,2650949,2857383,206434,5704620,https://en.wikipedia.org/wiki/2024_United_States_Senate_election_in_Ohio
OH,2022,2,3,,Tim Ryan,JD Vance,None,46.92,53.03,6.11,1939489,2192114,252625,4133342,https://en.wikipedia.org/wiki/2022_United_States_Senate_election_in_Ohio
OH,2018,1,1,,Sherrod Brown,Jim Renacci,D,53.41,46.57,-6.85,2355923,2053963,-301960,4410898,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Ohio
OH,2016,2,3,,Ted Strickland,Rob Portman,R,37.16,58.03,20.87,1996913,3118568,1121655,5374170,https://en.wikipedia.org/wiki/2016_United_States_Senate_election_in_Ohio
OH,2012,1,1,,Sherrod Brown,Josh Mandel,D,50.70,44.70,-6.00,2762690,2435712,-326978,5449018,https://en.wikipedia.org/wiki/2012_United_States_Senate_election_in_Ohio
OK,2022,2,3,,Madison Horn,James Lankford,R,32.10,64.30,32.20,369370,739960,370590,1150732,https://en.wikipedia.org/wiki/2022_United_States_Senate_election_in_Oklahoma
OK,2022,1,2,Special,Kendra Horn,Markwayne Mullin,None,35.24,61.77,26.53,405389,710643,305254,1150481,https://en.wikipedia.org/wiki/2022_United_States_Senate_special_election_in_Oklahoma
OK,2020,1,2,,Abby Broyles,James Inhofe,R,32.75,62.91,30.16,509763,979140,469377,1556361,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_Oklahoma
OK,2016,2,3,,Mike Workman,James Lankford,R,24.58,67.74,43.16,355911,980892,624981,1448047,https://en.wikipedia.org/wiki/2016_United_States_Senate_election_in_Oklahoma
OK,2014,1,2,,Matt Silverstein,James Inhofe,R,28.55,68.01,39.46,234307,558166,323859,820733,https://en.wikipedia.org/wiki/2014_United_States_Senate_election_in_Oklahoma
OK,2014,2,3,Special,Constance Johnson,James Lankford,None,28.98,67.85,38.87,237923,557002,319079,820890,https://en.wikipedia.org/wiki/2014_United_States_Senate_special_election_in_Oklahoma
OR,2022,2,3,,Ron Wyden,Jo Rae Perkins,D,55.83,40.92,-14.91,1076424,788991,-287433,1927949,https://en.wikipedia.org/wiki/2022_United_States_Senate_election_in_Oregon
OR,2020,1,2,,Jeff Merkley,Jo Rae Perkins,D,56.91,39.32,-17.59,1321047,912814,-408233,2321249,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_Oregon
OR,2016,2,3,,Ron Wyden,Mark Callahan,D,56.60,33.35,-23.25,1105119,651106,-454013,1952478,https://en.wikipedia.org/wiki/2016_United_States_Senate_election_in_Oregon
OR,2014,1,2,,Jeff Merkley,Monica Wehby,D,55.73,36.87,-18.86,814537,538847,-275690,1461618,https://en.wikipedia.org/wiki/2014_United_States_Senate_election_in_Oregon
PA,2024,1,1,,Robert Casey,Dave McCormick,D,48.60,48.82,0.22,3384180,3399295,15115,6963137,https://en.wikipedia.org/wiki/2024_United_States_Senate_election_in_Pennsylvania
PA,2022,2,3,,John Fetterman,Mehmet Oz,None,51.25,46.33,-4.91,2751012,2487260,-263752,5368021,https://en.wikipedia.org/wiki/2022_United_States_Senate_election_in_Pennsylvania
PA,2018,1,1,,Robert Casey,Lou Barletta,D,55.74,42.62,-13.13,2792437,2134848,-657589,5009400,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Pennsylvania
PA,2016,2,3,,Kathleen Alana McGinty,Patrick Toomey,R,47.34,48.77,1.43,2865012,2951702,86690,6051856,https://en.wikipedia.org/wiki/2016_United_States_Senate_election_in_Pennsylvania
PA,2012,1,1,,Robert Casey,Tom Smith,D,53.69,44.59,-9.10,3021364,2509132,-512232,5627422,https://en.wikipedia.org/wiki/2012_United_States_Senate_election_in_Pennsylvania
RI,2024,1,1,,Sheldon Whitehouse,Patricia Morgan,D,59.90,39.85,-20.05,294665,196039,-98626,491948,https://en.wikipedia.org/wiki/2024_United_States_Senate_election_in_Rhode_Island
RI,2020,2,2,,Jack Reed,Allen Waters,D,66.48,33.35,-33.12,328574,164855,-163719,494262,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_Rhode_Island
RI,2018,1,1,,Sheldon Whitehouse,Bob Flanders,D,61.44,38.33,-23.11,231477,144421,-87056,376738,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Rhode_Island
RI,2014,2,2,,Jack Reed,Mark Zaccaria,D,70.58,29.25,-41.34,223675,92684,-130991,316898,https://en.wikipedia.org/wiki/2014_United_States_Senate_election_in_Rhode_Island
RI,2012,1,1,,Sheldon Whitehouse,Barry Hinckley,D,64.81,34.97,-29.85,271034,146222,-124812,418189,https://en.wikipedia.org/wiki/2012_United_States_Senate_election_in_Rhode_Island
SC,2022,2,3,,Krystle Matthews,Tim Scott,R,37.01,62.88,25.87,627616,1066274,438658,1695702,https://en.wikipedia.org/wiki/2022_United_States_Senate_election_in_South_Carolina
SC,2020,1,2,,Jaime Harrison,Lindsey Graham,R,44.17,54.44,10.27,1110828,1369137,258309,2515104,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_South_Carolina
SC,2016,2,3,,Thomas Dixon,Tim Scott,R,36.93,60.57,23.64,757022,1241609,484587,2049893,https://en.wikipedia.org/wiki/2016_United_States_Senate_election_in_South_Carolina
SC,2014,1,2,,Charles Bradley Hutto,Lindsey Graham,R,38.78,54.27,15.48,480933,672941,192008,1240075,https://en.wikipedia.org/wiki/2014_United_States_Senate_election_in_South_Carolina
SC,2014,2,3,Special,Joyce Dickerson,Tim Scott,R,38.01,60.15,22.14,459583,727215,267632,1208982,https://en.wikipedia.org/wiki/2014_United_States_Senate_special_election_in_South_Carolina
SD,2022,2,3,,Brian Bengs,John Thune,R,26.15,69.63,43.48,91007,242316,151309,348020,https://en.wikipedia.org/wiki/2022_United_States_Senate_election_in_South_Dakota
SD,2020,1,2,,Daniel Ahlers,Michael Rounds,R,34.26,65.74,31.47,143987,276232,132245,420219,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_South_Dakota
SD,2016,2,3,,Jay Williams,John Thune,R,28.17,71.83,43.66,104140,265516,161376,369656,https://en.wikipedia.org/wiki/2016_United_States_Senate_election_in_South_Dakota
SD,2014,1,2,,Richard Weiland,Michael Rounds,None,29.51,50.37,20.86,82456,140741,58285,279412,https://en.wikipedia.org/wiki/2014_United_States_Senate_election_in_South_Dakota
TN,2024,1,1,,Gloria Johnson,Marsha Blackburn,R,34.16,63.80,29.63,1027461,1918743,891282,3007608,https://en.wikipedia.org/wiki/2024_United_States_Senate_election_in_Tennessee
TN,2020,2,2,,Marquita Bradshaw,Bill Hagerty,None,35.16,62.20,27.04,1040691,1840926,800235,2959761,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_Tennessee
TN,2018,1,1,,Phil Bredesen,Marsha Blackburn,None,43.92,54.71,10.79,985450,1227483,242033,2243740,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Tennessee
TN,2014,2,2,,William Gordon Ball,Lamar Alexander,R,31.87,61.87,30.00,437848,850087,412239,1374065,https://en.wikipedia.org/wiki/2014_United_States_Senate_election_in_Tennessee
TN,2012,1,1,,Mark Clayton,Bob Corker,R,30.41,64.89,34.48,705882,1506443,800561,2321477,https://en.wikipedia.org/wiki/2012_United_States_Senate_election_in_Tennessee
TX,2024,1,1,,Colin Allred,Ted Cruz,R,44.56,53.05,8.50,5031249,5990741,959492,11291854,https://en.wikipedia.org/wiki/2024_United_States_Senate_election_in_Texas
TX,2020,2,2,,Mary Jennings Hegar,John Cornyn,R,43.87,53.51,9.64,4888764,5962983,1074219,11144040,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_Texas
TX,2018,1,1,,Beto O'Rourke,Ted Cruz,R,48.33,50.89,2.57,4045632,4260553,214921,8371655,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Texas
TX,2014,2,2,,David Alameel,John Cornyn,R,34.36,61.56,27.20,1597387,2861531,1264144,4648358,https://en.wikipedia.org/wiki/2014_United_States_Senate_election_in_Texas
TX,2012,1,1,,Paul Sadler,Ted Cruz,None,40.62,56.46,15.83,3194927,4440137,1245210,7864822,https://en.wikipedia.org/wiki/2012_United_States_Senate_election_in_Texas
UT,2024,1,1,,Caroline Gleich,John Curtis,None,31.74,62.50,30.76,464515,914700,450185,1472387,https://en.wikipedia.org/wiki/2024_United_States_Senate_election_in_Utah
UT,2022,2,3,,,Mike Lee,R,0.00,53.15,53.15,0,571974,571974,1076068,https://en.wikipedia.org/wiki/2022_United_States_Senate_election_in_Utah
UT,2018,1,1,,Jenny Wilson,Mitt Romney,None,30.91,62.59,31.68,328541,665215,336674,1062897,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Utah
UT,2016,2,3,,Misty Katherine Snow,Mike Lee,R,27.06,68.15,41.09,301860,760241,458381,1115608,https://en.wikipedia.org/wiki/2016_United_States_Senate_election_in_Utah
UT,2012,1,1,,Scott Howell,Orrin Hatch,R,29.98,65.31,35.33,301873,657608,355735,1006901,https://en.wikipedia.org/wiki/2012_United_States_Senate_election_in_Utah
VA,2024,1,1,,Timothy Michael Kaine,Hung Cao,D,54.37,45.44,-8.92,2415429,2018992,-396437,4442926,https://en.wikipedia.org/wiki/2024_United_States_Senate_election_in_Virginia
VA,2020,2,2,,Mark Warner,Daniel Gade,D,55.99,43.91,-12.08,2466500,1934199,-532301,4405087,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_Virginia
VA,2018,1,1,,Timothy Michael Kaine,Corey Stewart,D,57.00,41.01,-16.00,1910370,1374313,-536057,3351373,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Virginia
VA,2014,2,2,,Mark Warner,Ed Gillespie,D,49.15,48.34,-0.81,1073667,1055940,-17727,2184473,https://en.wikipedia.org/wiki/2014_United_States_Senate_election_in_Virginia
VA,2012,1,1,,Timothy Michael Kaine,George Allen,None,52.87,46.96,-5.91,2010067,1785542,-224525,3802196,https://en.wikipedia.org/wiki/2012_United_States_Senate_election_in_Virginia
VT,2024,1,1,,Bernie Sanders (I),Gerald Malloy,D,63.16,32.07,-31.09,229429,116512,-112917,372885,https://en.wikipedia.org/wiki/2024_United_States_Senate_election_in_Vermont
VT,2022,2,3,,Peter Welch,Gerald Malloy,None,68.47,28.03,-40.44,196575,80468,-116107,291955,https://en.wikipedia.org/wiki/2022_United_States_Senate_election_in_Vermont
VT,2018,1,1,,,Lawrence Zupan,None,0.00,27.44,27.44,0,74815,74815,278013,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Vermont
VT,2016,2,3,,Patrick Leahy,Scott Milne,D,61.26,33.03,-28.24,192243,103637,-88606,320467,https://en.wikipedia.org/wiki/2016_United_States_Senate_election_in_Vermont
VT,2012,1,1,,,John MacGovern,None,0.00,24.90,24.90,0,72898,72898,292762,https://en.wikipedia.org/wiki/2012_United_States_Senate_election_in_Vermont
WA,2024,1,1,,Maria Cantwell,Raul Garcia,D,59.09,40.64,-18.45,2252577,1549187,-703390,3812391,https://en.wikipedia.org/wiki/2024_United_States_Senate_election_in_Washington
WA,2022,2,3,,Patty Murray,Tiffany Smiley,D,57.15,42.63,-14.52,1741827,1299322,-442505,3047900,https://en.wikipedia.org/wiki/2022_United_States_Senate_election_in_Washington
WA,2018,1,1,,Maria Cantwell,Susan Hutchison,D,58.43,41.57,-16.87,1803364,1282804,-520560,3086168,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Washington
WA,2016,2,3,,Patty Murray,Chris Vance,D,59.01,40.99,-18.03,1913979,1329338,-584641,3243317,https://en.wikipedia.org/wiki/2016_United_States_Senate_election_in_Washington
WA,2012,1,1,,Maria Cantwell,Michael Baumgartner,D,60.45,39.55,-20.90,1855493,1213924,-641569,3069417,https://en.wikipedia.org/wiki/2012_United_States_Senate_election_in_Washington
WI,2024,1,1,,Tammy Baldwin,Eric Hovde,D,49.33,48.48,-0.85,1672777,1643996,-28781,3390787,https://en.wikipedia.org/wiki/2024_United_States_Senate_election_in_Wisconsin
WI,2022,2,3,,Mandela Barnes,Ron Johnson,R,49.41,50.41,1.01,1310467,1337185,26718,2652477,https://en.wikipedia.org/wiki/2022_United_States_Senate_election_in_Wisconsin
WI,2018,1,1,,Tammy Baldwin,Leah Vukmir,D,55.36,44.53,-10.83,1472914,1184885,-288029,2660763,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Wisconsin
WI,2016,2,3,,Russ Feingold,Ron Johnson,R,46.81,50.17,3.36,1380335,1479471,99136,2948741,https://en.wikipedia.org/wiki/2016_United_States_Senate_election_in_Wisconsin
WI,2012,1,1,,Tammy Baldwin,Tommy Thompson,None,51.41,45.86,-5.55,1547104,1380126,-166978,3009411,https://en.wikipedia.org/wiki/2012_United_States_Senate_election_in_Wisconsin
WV,2024,1,1,,Glenn Elliott,Jim Justice,None,27.76,68.75,41.00,207548,514079,306531,747717,https://en.wikipedia.org/wiki/2024_United_States_Senate_election_in_West_Virginia
WV,2020,2,2,,Paula Jean Swearengin,Shelley Moore Capito,R,27.00,70.28,43.28,210309,547454,337145,778918,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_West_Virginia
WV,2018,1,1,,Joe Manchin,Patrick Morrisey,D,49.57,46.26,-3.31,290510,271113,-19397,586034,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_West_Virginia
WV,2014,2,2,,Natalie Tennant,Shelley Moore Capito,None,34.46,62.12,27.65,156360,281820,125460,453689,https://en.wikipedia.org/wiki/2014_United_States_Senate_election_in_West_Virginia
WV,2012,1,1,,Joe Manchin,John Raese,D,60.57,36.47,-24.10,399898,240787,-159111,660202,https://en.wikipedia.org/wiki/2012_United_States_Senate_election_in_West_Virginia
WY,2024,1,1,,Scott Morrow,John Barrasso,R,24.12,75.11,50.99,63727,198418,134691,271123,https://en.wikipedia.org/wiki/2024_United_States_Senate_election_in_Wyoming
WY,2020,2,2,,Merav Ben-David,Cynthia Lummis,None,26.76,72.85,46.09,72766,198100,125334,278503,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_Wyoming
WY,2018,1,1,,Gary Trauner,John Barrasso,R,30.10,66.96,36.86,61227,136210,74983,205275,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Wyoming
WY,2014,2,2,,Charlie Hardy,Michael Enzi,R,17.45,72.19,54.74,29377,121554,92177,171153,https://en.wikipedia.org/wiki/2014_United_States_Senate_election_in_Wyoming
WY,2012,1,1,,Tim Chesnut,John Barrasso,R,21.65,75.65,54.00,53019,185250,132231,250700,https://en.wikipedia.org/wiki/2012_United_States_Senate_election_in_Wyoming
,,,,,,,,,,,,,,,
,,,,,Andy Millard,Patrick McHenry,,,,,,,,,
,,,,,Rick Bryson,Mark Meadows,,,,,,,,,
,,,,,Alma Adams,Leon Threatt,,,,,,,,,
,,,,,Bruce Davis,Ted Budd,,,,,,,,,
,,,,,Chase Iron Eyes,Kevin Cramer,,,,,,,,,
,,,,,Daniel Wik,Jeff Fortenberry,,,,,,,,,
,,,,,Brad Ashford,Don Bacon,,,,,,,,,
,,,,,,Adrian Smith,,,,,,,,,
,,,,,Carol Shea-Porter,Frank Guinta,,,,,,,,,
,,,,,Ann Kuster,Jim Lawrence,,,,,,,,,
,,,,,Donald Norcross,Bob Patterson,,,,,,,,,
,,,,,David Cole,Frank LoBiondo,,,,,,,,,
,,,,,Frederick John Lavergne,Thomas MacArthur,,,,,,,,,
,,,,,Lorna Phillipson,Christopher Smith,,,,,,,,,
,,,,,Joshua Gottheimer,Scott Garrett,,,,,,,,,
,,,,,Frank Pallone,Brent Sonnek-Schmelz,,,,,,,,,
,,,,,Peter Jacob,Leonard Lance,,,,,,,,,
,,,,,Albio Sires,Agha Khan,,,,,,,,,
,,,,,Bill Pascrell,Hector Castillo,,,,,,,,,
,,,,,Donald Payne,David Pinckney,,,,,,,,,
,,,,,Joseph Wenzel,Rodney Frelinghuysen,,,,,,,,,
,,,,,Bonnie Watson Coleman,Steven Uccio,,,,,,,,,
,,,,,Michelle Lujan Grisham,Richard Gregory Priem,,,,,,,,,
,,,,,Merrie Lee Soules,Stevan Pearce,,,,,,,,,
,,,,,Ben Ray Luján,Michael Romero,,,,,,,,,
,,,,,Dina Titus,Mary Perry,,,,,,,,,
,,,,,Chip Evans,Mark Amodei,,,,,,,,,
,,,,,Jacky Rosen,Danny Tarkanian,,,,,,,,,
,,,,,Ruben Kihuen,Cresent Hardy,,,,,,,,,
,,,,,Anna Throne-Holst,Lee Zeldin,,,,,,,,,
,,,,,DuWayne Gregory,Peter King,,,,,,,,,
,,,,,Thomas Suozzi,Jack Martins,,,,,,,,,
,,,,,Kathleen Rice,David Gurfein,,,,,,,,,
,,,,,Gregory Meeks,Michael O’Reilly,,,,,,,,,
,,,,,Grace Meng,Danniel Maio,,,,,,,,,
,,,,,Nydia Velázquez,Allan Romaguera,,,,,,,,,
,,,,,Hakeem Jeffries,Daniel Cavanagh (Con),,,,,,,,,
,,,,,Yvette Clarke,Alan Bellone (Con),,,,,,,,,
,,,,,Jerrold Nadler,Philip Rosenthal,,,,,,,,,
,,,,,Richard Reichard,Daniel Donovan,,,,,,,,,
,,,,,Carolyn Maloney,Robert Ardini,,,,,,,,,
,,,,,Adriano Espaillat,Robert Evans,,,,,,,,,
,,,,,Joseph Crowley,Frank Spotorno,,,,,,,,,
,,,,,José Serrano,Alejandro Vega,,,,,,,,,
,,,,,Eliot Engel,Derickson Lawrence (PSC),,,,,,,,,
,,,,,Nita Lowey,,,,,,,,,,
,,,,,Sean Patrick Maloney,Phil Oliva,,,,,,,,,
,,,,,Zephyr Teachout,John Faso,,,,,,,,,
,,,,,Paul Tonko,Joe Vitollo,,,,,,,,,
,,,,,Mike Derrick,Elise Stefanik,,,,,,,,,
,,,,,Kim Myers,Claudia Tenney,,,,,,,,,
,,,,,John Plumb,Tom Reed,,,,,,,,,
,,,,,Colleen Deacon,John Katko,,,,,,,,,
,,,,,Louise McIntosh Slaughter,Mark Assini,,,,,,,,,
,,,,,Brian Higgins,Shelly Schratz,,,,,,,,,
,,,,,Diana Kastenbaum,Chris Collins,,,,,,,,,
,,,,,Michele Young,Steve Chabot,,,,,,,,,
,,,,,William Smith,Brad Wenstrup,,,,,,,,,
,,,,,Joyce Beatty,John Adams,,,,,,,,,
,,,,,Janet Garrett,Jim Jordan,,,,,,,,,
,,,,,James Neu,Robert Latta,,,,,,,,,
,,,,,Michael Lorentz,Bill Johnson,,,,,,,,,
,,,,,Roy Rich,Bob Gibbs,,,,,,,,,
,,,,,Steven Fought,Warren Davidson,,,,,,,,,
,,,,,Marcy Kaptur,Donald Larson,,,,,,,,,
,,,,,Robert Klepinger,Michael Turner,,,,,,,,,
,,,,,Marcia Fudge,Beverly Goldstein,,,,,,,,,
,,,,,Ed Albertson,Patrick Tiberi,,,,,,,,,
,,,,,Tim Ryan,Richard Morckel,,,,,,,,,
,,,,,Michael Wager,David Joyce,,,,,,,,,
,,,,,Scott Wharton,Steve Stivers,,,,,,,,,
,,,,,Keith Mundy,James Renacci,,,,,,,,,
,,,,,,Jim Bridenstine,,,,,,,,,
,,,,,Joshua Harris-Till,Markwayne Mullin,,,,,,,,,
,,,,,Frankie Robbins,Frank Lucas,,,,,,,,,
,,,,,Christina Owen,Tom Cole,,,,,,,,,
,,,,,Al McAffrey,Steve Russell,,,,,,,,,
,,,,,Suzanne Bonamici,Brian Heinrich,,,,,,,,,
,,,,,Jim Crary,Greg Walden,,,,,,,,,
,,,,,Earl Blumenauer,David Walker (I),,,,,,,,,
,,,,,Peter DeFazio,Art Robinson,,,,,,,,,
,,,,,Kurt Schrader,Colm Willis,,,,,,,,,
,,,,,Robert Brady,Deborah Williams,,,,,,,,,
,,,,,Dwight Evans,James Jones,,,,,,,,,
,,,,,,Mike Kelly,,,,,,,,,
,,,,,Joshua Burkholder,Scott Perry,,,,,,,,,
,,,,,Kerith Strano Taylor,Glenn Thompson,,,,,,,,,
,,,,,Mike Parrish,Ryan Costello,,,,,,,,,
,,,,,Mary Ellen Balchunis,Patrick Meehan,,,,,,,,,
,,,,,Steve Santarsiero,Brian Fitzpatrick,,,,,,,,,
,,,,,Art Halvorson,Bill Shuster,,,,,,,,,
,,,,,Mike Molesevich,Tom Marino,,,,,,,,,
,,,,,Mike Marsicano,Lou Barletta,,,,,,,,,
,,,,,Erin McClelland,Keith Rothfus,,,,,,,,,
,,,,,Brendan Boyle,,,,,,,,,,
,,,,,Michael Doyle,Lenny McAllister,,,,,,,,,
,,,,,Rick Daugherty,Charles Dent,,,,,,,,,
,,,,,Christina Hartman,Lloyd Smucker,,,,,,,,,
,,,,,Matt Cartwright,Matt Connolly,,,,,,,,,
,,,,,,Tim Murphy,,,,,,,,,
,,,,,David Cicilline,Harold Russell Taub,,,,,,,,,
,,,,,James Langevin,Rhue Reis,,,,,,,,,
,,,,,Dimitri Cherny,Mark Sanford,,,,,,,,,
,,,,,Arik Bjorn,Joe Wilson,,,,,,,,,
,,,,,Hosea Cleveland,Jeff Duncan,,,,,,,,,
,,,,,Chris Fedalei,Trey Gowdy,,,,,,,,,
,,,,,Fran Person,Mick Mulvaney,,,,,,,,,
,,,,,James Clyburn,Laura Sterling,,,,,,,,,
,,,,,Mal Hyman,Tom Rice,,,,,,,,,
,,,,,Paula Hawks,Kristi Noem,,,,,,,,,
,,,,,Alan Bohms,David Roe,,,,,,,,,
,,,,,Stuart Starr,John Duncan,,,,,,,,,
,,,,,Melody Shekari,Chuck Fleischmann,,,,,,,,,
,,,,,Steven Reynolds,Scott DesJarlais,,,,,,,,,
,,,,,Jim Cooper,Stacy Ries Snyder,,,,,,,,,
,,,,,David Kent,Diane Black,,,,,,,,,
,,,,,Tharon Chandler,Marsha Blackburn,,,,,,,,,
,,,,,Rickey Hobson,David Kustoff,,,,,,,,,
,,,,,Steve Cohen,Wayne Alberson,,,,,,,,,
,,,,,Shirley McKellar,Louie Gohmert,,,,,,,,,
,,,,,Pat Bryan,Ted Poe,,,,,,,,,
,,,,,Adam Bell,Sam Johnson,,,,,,,,,
,,,,,Cody Wommack (L),John Ratcliffe,,,,,,,,,
,,,,,Ken Ashby (L),Jeb Hensarling,,,,,,,,,
,,,,,Ruby Faye Woolridge,Joe Barton,,,,,,,,,
,,,,,James Cargas,John Abney Culberson,,,,,,,,,
,,,,,,Kevin Brady,,,,,,,,,
,,,,,Al Green,Jeff Martin,,,,,,,,,
,,,,,Tawana Cadien,Michael McCaul,,,,,,,,,
,,,,,Nicholas Landholt (L),Michael Conaway,,,,,,,,,
,,,,,Bill Bradshaw,Kay Granger,,,,,,,,,
,,,,,Calvin DeWeese (L),Mac Thornberry,,,,,,,,,
,,,,,Michael Cole,Randy Weber,,,,,,,,,
,,,,,Vicente Gonzalez,Tim Westley,,,,,,,,,
,,,,,Beto O’Rourke,Jaime Perez (L),,,,,,,,,
,,,,,William Matta,Bill Flores,,,,,,,,,
,,,,,Sheila Jackson Lee,Lori Bartley,,,,,,,,,
,,,,,Troy Bonar (L),Jodey Arrington,,,,,,,,,
,,,,,Joaquin Castro,Jeffrey Blunt (L),,,,,,,,,
,,,,,Tom Wakely,Lamar Smith,,,,,,,,,
,,,,,Mark Gibson,Pete Olson,,,,,,,,,
,,,,,Pete Gallego,Will Hurd,,,,,,,,,
,,,,,Jan McDowell,Kenny Marchant,,,,,,,,,
,,,,,Kathi Thomas,Roger Williams,,,,,,,,,
,,,,,Eric Mauck,Michael Burgess,,,,,,,,,
,,,,,Roy Barrera,Blake Farenthold,,,,,,,,,
,,,,,Henry Cuellar,Zeffen Hardin,,,,,,,,,
,,,,,Gene Green,Julio Garza,,,,,,,,,
,,,,,Eddie Bernice Johnson,Charles Lingerfelt,,,,,,,,,
,,,,,Mike Clark,John Carter,,,,,,,,,
,,,,,Ed Rankin (L),Pete Sessions,,,,,,,,,
,,,,,Marc Veasey,Mark Mitchell,,,,,,,,,
,,,,,Filemon Vela,Rey Gonzalez,,,,,,,,,
,,,,,Lloyd Doggett,Susan Narvaiz,,,,,,,,,
,,,,,Hal Ridley Jr. (G),Brian Babin,,,,,,,,,
,,,,,Peter Clemens,Rob Bishop,,,,,,,,,
,,,,,Charlene Albarran,Chris Stewart,,,,,,,,,
,,,,,Stephen Tryon,Jason Chaffetz,,,,,,,,,
,,,,,Doug Owens,Mia Love,,,,,,,,,
,,,,,Matt Rowe,Robert Wittman,,,,,,,,,
,,,,,Shaun Brown,Scott Taylor,,,,,,,,,
,,,,,Bobby Scott,Marty Williams,,,,,,,,,
,,,,,Donald McEachin,Mike Wade,,,,,,,,,
,,,,,Jane Dittmar,Tom Garrett,,,,,,,,,
,,,,,Kai Degner,Bob Goodlatte,,,,,,,,,
,,,,,Eileen Bedell,Dave Brat,,,,,,,,,
